007-MATB,,,,,,,,
,,,Condition / Trial,,,,,
,Calibration Raw,Calibration Adjusted,Condition 1 - Trial 1,Condition 1 - Trial 2,Condition 2 - Trial 1,Condition 2 - Trial 2,Condition 3 - Trial 1,Condition 3 - Trial 2
Mental ,2,0.133333333333333,6,4,13,12,17,16
Physical,0,0,2,3,2,2,4,3
Temporal,5,0.333333333333333,5,6,11,11,12,13
Performance,3,0.2,6,5,6,9,11,14
Effort,4,0.266666666666667,7,7,10,11,15,13
Frustration,1,0.0666666666666667,8,6,7,8,12,14
Total,15,1,30.3333333333333,29,48.6666666666667,52.6666666666667,66.3333333333333,68.3333333333333
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
